Origin;Origin ID;Destination;Destination ID;Crop;mean;sd
Argentina;AR;Latvia;LV;Soy;9005.846154;182.9239827
Argentina;AR;Liechtenstein;LI;Soy;7798;NA
Argentina;AR;Lithuania;LT;Soy;8935;NA
Argentina;AR;Luxembourg;LU;Soy;7814;NA
Argentina;AR;Moldova;MD;Soy;9134;NA
Argentina;AR;Montenegro;ME;Soy;8655.095238;56.3186595
Argentina;AR;Netherlands;NL;Soy;7916.653513;71.07584662
Argentina;AR;North.Mazedonia;MK;Soy;8477;NA
Argentina;AR;Norway;NO;Soy;8613.600457;247.6931313
Argentina;AR;Poland;PL;Soy;8901.155;8.842055756
Argentina;AR;Portugal;PT;Soy;6535;NA
Argentina;AR;Romania;RO;Soy;9122.72;101.7286744
Argentina;AR;Russia;RU;Soy;9195.511932;91.95305034
Argentina;AR;Serbia;RS;Soy;8786.670808;274.5126945
Argentina;AR;Slovakia;SK;Soy;8733.924;157.7394674
Argentina;AR;Slovenia;SI;Soy;8664;NA
Argentina;AR;Spain;ES;Soy;7101.84249;351.8986106
Argentina;AR;Sweden;SE;Soy;8587.965526;296.8058383
Argentina;AR;Switzerland;CH;Soy;7798;NA
Argentina;AR;Turkey;TR;Soy;9068.3;278.7414931
Argentina;AR;Ukraine;UA;Soy;9104.001587;92.73170475
Argentina;AR;UK;GB;Soy;7765.117001;112.1477635
Brazil;BR;Albania;AL;Soy;7399;NA
Brazil;BR;Andorra;AD;Soy;6337;NA
Brazil;BR;Austria;AT;Soy;7573.876;143.8915746
Brazil;BR;Azerbaijan;AZ;Soy;8056;NA
Brazil;BR;Belarus;BY;Soy;7855.81;8.970384607
Brazil;BR;Belgium;BE;Soy;6741.462;31.05259786
Brazil;BR;Bosnia;BA;Soy;7586;NA
Brazil;BR;Bulgaria;BG;Soy;7971.247;311.4471062
Brazil;BR;Croatia;HR;Soy;7586;NA
Brazil;BR;Czechia;CZ;Soy;7504.173;304.8035558
Brazil;BR;Denmark;DK;Soy;7287.818182;171.6436181
Brazil;BR;Estonia;EE;Soy;8164;NA
Brazil;BR;Finland;FI;Soy;8164;NA
Brazil;BR;France;FR;Soy;6574.614781;124.1022095
Brazil;BR;Germany;DE;Soy;7036.55893;302.1499541
Brazil;BR;Greece;GR;Soy;7399;NA
Brazil;BR;Hungary;HU;Soy;7608.56;142.0862161
Brazil;BR;Iceland;IS;Soy;7474;NA
Brazil;BR;Ireland;IE;Soy;6660;NA
Brazil;BR;Italy;IT;Soy;7091.151605;487.9690272
Brazil;BR;Kazachstan;KZ;Soy;8056;NA
Brazil;BR;Kosovo;XK;Soy;7399;NA
Brazil;BR;Latvia;LV;Soy;7927.846154;182.9239827
Brazil;BR;Liechtenstein;LI;Soy;6720;NA
Brazil;BR;Lithuania;LT;Soy;7857;NA
Brazil;BR;Luxembourg;LU;Soy;6736;NA
Brazil;BR;Moldova;MD;Soy;8056;NA
Brazil;BR;Montenegro;ME;Soy;7577.095238;56.3186595
Brazil;BR;Netherlands;NL;Soy;6838.653514;71.07584662
Brazil;BR;North.Mazedonia;MK;Soy;7399;NA
Brazil;BR;Norway;NO;Soy;7535.600457;247.6931313
Brazil;BR;Poland;PL;Soy;7823.155;8.842055756
Brazil;BR;Portugal;PT;Soy;5457;NA
Brazil;BR;Romania;RO;Soy;8044.72;101.7286744
Brazil;BR;Russia;RU;Soy;8117.511932;91.95305034
Brazil;BR;Serbia;RS;Soy;7708.670808;274.5126945
Brazil;BR;Slovakia;SK;Soy;7657.002;157.6274111
Brazil;BR;Slovenia;SI;Soy;7586;NA
Brazil;BR;Spain;ES;Soy;6023.84249;351.8986106
Brazil;BR;Sweden;SE;Soy;7509.965525;296.8058383
Brazil;BR;Switzerland;CH;Soy;6720;NA
Brazil;BR;Turkey;TR;Soy;7990.3;278.7414931
Brazil;BR;Ukraine;UA;Soy;8026.001587;92.73170475
Brazil;BR;UK;GB;Soy;6687.117001;112.1477635
China;CN;Albania;AL;Pea;8890.165;747.9160626
China;CN;Andorra;AD;Pea;10233.507;747.934935
China;CN;Austria;AT;Pea;9965.184946;730.097438
China;CN;Azerbaijan;AZ;Pea;9603.878;747.9257594
China;CN;Belarus;BY;Pea;13067.14781;729.9859909
China;CN;Belgium;BE;Pea;12106.84046;724.6726573
China;CN;Bosnia;BA;Pea;9963.237;747.930925
China;CN;Bulgaria;BG;Pea;9511.809023;769.8395968
China;CN;Croatia;HR;Pea;9963.237;747.930925
China;CN;Czechia;CZ;Pea;11133.51711;1563.279261
China;CN;Denmark;DK;Pea;12649.05144;734.8480845
China;CN;Estonia;EE;Pea;13530.801;747.9924964
China;CN;Finland;FI;Pea;13530.801;747.9924964
China;CN;France;FR;Pea;11246.57178;1137.220869
China;CN;Germany;DE;Pea;11907.93482;1159.188488
China;CN;Greece;GR;Pea;8890.165;747.9160626
China;CN;Hungary;HU;Pea;9945.987768;734.1240652
China;CN;Iceland;IS;Pea;12841.112;747.9791356
China;CN;Ireland;IE;Pea;12024.296;747.9642158
China;CN;Italy;IT;Pea;9941.815476;802.6590851
China;CN;Kazachstan;KZ;Pea;9603.878;747.9257594
China;CN;Kosovo;XK;Pea;8890.165;747.9160626
China;CN;Latvia;LV;Pea;13175.061;756.6860249
China;CN;Liechtenstein;LI;Pea;10102.376;747.932976
China;CN;Lithuania;LT;Pea;13068.339;747.9834603
China;CN;Luxembourg;LU;Pea;12101.373;747.9655818
China;CN;Moldova;MD;Pea;9603.878;747.9257594
China;CN;Montenegro;ME;Pea;9912.138333;766.4300601
China;CN;Netherlands;NL;Pea;12204.12916;722.5887512
China;CN;North.Mazedonia;MK;Pea;8890.165;747.9160626
China;CN;Norway;NO;Pea;12901.7502;752.8192663
China;CN;Poland;PL;Pea;13034.46016;729.9845584
China;CN;Portugal;PT;Pea;10834.107;747.9442303
China;CN;Romania;RO;Pea;9612.502616;732.0663799
China;CN;Russia;RU;Pea;12449.14429;1890.327944
China;CN;Serbia;RS;Pea;9793.912565;778.83977
China;CN;Slovakia;SK;Pea;10975.60607;1649.846738
China;CN;Slovenia;SI;Pea;9963.237;747.930925
China;CN;Spain;ES;Pea;10369.24584;759.602223
China;CN;Sweden;SE;Pea;12873.36147;767.7002216
China;CN;Switzerland;CH;Pea;10102.376;747.932976
China;CN;Turkey;TR;Pea;9532.5067;762.058803
China;CN;Ukraine;UA;Pea;10073.96826;1401.635714
China;CN;UK;GB;Pea;12052.11163;725.4209063
USA;US;Albania;AL;Pea;12158.877;52.40731635
USA;US;Andorra;AD;Pea;11096.877;52.40731635
USA;US;Austria;AT;Pea;12333.753;120.9135749
USA;US;Azerbaijan;AZ;Pea;12815.877;52.40731635
USA;US;Belarus;BY;Pea;12615.687;47.38672942
USA;US;Belgium;BE;Pea;11501.339;52.75502801
USA;US;Bosnia;BA;Pea;12345.877;52.40731635
USA;US;Bulgaria;BG;Pea;12731.124;245.7576071
USA;US;Croatia;HR;Pea;12345.877;52.40731635
USA;US;Czechia;CZ;Pea;12264.05;267.8409991
USA;US;Denmark;DK;Pea;12047.69518;161.5622591
USA;US;Estonia;EE;Pea;12923.877;52.40731635
USA;US;Finland;FI;Pea;12923.877;52.40731635
USA;US;France;FR;Pea;11334.49178;126.9570012
USA;US;Germany;DE;Pea;11793.0667;287.2959353
USA;US;Greece;GR;Pea;12158.877;52.40731635
USA;US;Hungary;HU;Pea;12368.437;119.6257377
USA;US;Iceland;IS;Pea;12233.877;52.40731635
USA;US;Ireland;IE;Pea;11419.877;52.40731635
