,Location,Agg_CF_irri,Agg_CF_non_irri,country_area_km2
0,AF,58.639098360089044,31.63591903507405,658436.478955776
1,AL,36.57493232731354,9.070250717799372,49870.33205867991
2,DZ,66.2089164989113,37.03002811723648,2450281.5176088503
3,AS,0.0,4.417532544,
4,AD,64.95191477406048,13.272233194328336,
5,AO,4.579280496415789,9.912449816069078,1271830.2106951016
6,AI,0.0,22.37208753,
7,AG,10.347553273595228,4.883459208750397,
8,AR,37.596603738521736,4.192924708011247,4240282.950058198
9,AM,87.54854424472211,43.724455669098916,46316.80999942211
10,AW,0.0,0.0,
11,AU,72.79001338025758,25.406232462946438,9435406.132937845
12,AT,1.27877553707204,1.1428277757555647,182449.0564699956
13,AZ,86.82314737797756,44.40994216820609,125261.18090044004
14,BH,8.16267750817235,9.039942666458273,666.8964161845532
15,BD,3.0098973740139,2.3433382193036323,155970.68648195016
16,BB,17.511023203779086,7.600422936271781,
17,BY,3.760535113195919,2.988721965814759,585944.416547353
18,BE,2.2083444675531503,1.2043175045547272,74970.54510939136
19,BZ,1.2577994580650245,1.048442936666375,23997.38038692795
20,BJ,5.495187125781071,7.20022747339131,118945.65399688472
21,BT,1.0641911448235828,0.7646002044029668,47044.20920012014
22,BO,3.466269154261261,1.6847703661262203,1171384.6191014778
23,BA,1.335772551584449,1.0159558807257247,99138.60240099518
24,BW,13.036064469878731,33.043540384676554,675550.2253824231
25,BR,2.652893060671342,1.8989932826631863,8878082.27293213
26,VG,23.41098448,13.24066099,
27,BN,0.2049824882749789,0.179054933005011,5830.902900871027
28,BG,27.992197686372826,9.46870432241139,204179.81247052105
29,BF,16.841960283118038,19.563929583590326,286473.7147729755
30,BI,10.681816428326687,65.1932232126045,25260.579479318894
31,KH,9.433757716458599,3.346641001432287,187176.22585664157
32,CM,11.14672305692593,3.9564158055739513,467944.2209300634
33,CA,8.376902523465452,2.6855742526188093,42738501.0975513
34,CV,26.09498916,8.333333333,4001.7595038454765
35,CF,14.748426121847228,9.697818613656683,627342.0700937937
36,TD,12.316548464934858,35.81221696478642,1323200.0439881845
37,CL,83.20225548019475,35.141603959983314,1166768.0132350854
38,CN,45.84727840268823,27.080652570717337,11452361.831729643
39,CO,2.2472275379525786,0.7799854895953194,1138117.249076568
40,KM,5.432335254860832,9.801121882566173,1048.4414232577474
41,CG,0.7147520236320078,0.5631856173739518,340445.3456808302
42,CD,1.8744665258864392,9.382071336014338,2305179.560049029
43,CR,2.0541833368976854,0.6515817944917681,52695.12733537969
44,CI,6.371340865134937,5.865906125798616,324687.1960215201
45,HR,1.9170425501940505,1.3537920458282302,109204.17301593623
46,CU,3.8570834400720946,2.991052812002136,122154.27884451435
47,CY,76.64316305170694,48.66421805510681,13604.953658798155
48,CZ,1.8979158896809452,1.6925481676564431,188187.63913384842
49,DK,2.037254815985191,1.9885506406302287,128232.71366854981
50,DJ,13.145196890801383,34.404383264687716,21833.2605529551
51,DM,12.59639579,5.81812126881142,
52,DO,12.067685646257145,4.027195634265523,51634.332366336916
53,TL,11.263350569809466,3.327651115816896,14535.332859128182
54,EC,7.9875843359264485,2.1615744988731205,252147.3847872581
55,EG,95.67386144758288,98.40056827835187,1069995.3319285752
56,SV,1.5868201489537723,1.7100943661856582,21919.706736819997
57,GQ,0.0,0.2886514839842832,26341.05103354601
58,ER,44.68135371074887,36.04107426079488,127757.4776895413
59,EE,1.327984315692485,1.0712660268372438,156816.61153751498
60,ET,27.396842968691978,28.53393387611008,1150454.863725163
61,FK,0.0,5.38829823708395,26610.623645197604
62,FO,0.0,1.4392618900696958,
63,FJ,3.006654551960659,1.0730075924077576,403770.0657462304
64,FI,1.5186746371221507,1.7317565632792566,1678489.194105365
65,FR,9.48681257428949,3.0510791476734163,1150705.0477530917
66,GF,0.46546100359025533,0.4936181143651566,80206.27947947252
67,GA,0.9428257371021803,0.41077499860541183,260034.62382841442
68,GE,83.10410531228962,24.50739577631532,125802.35869655032
69,DE,1.7784352021845882,1.116620647960218,900284.3708947063
70,GH,16.83742584592751,16.073986112615167,230689.8602555844
71,GI,48.06596418,30.98467086,
72,GR,69.36030767321641,28.347883678331165,209630.0030066604
73,GL,0.0,0.0,6148458.656223804
74,GD,8.333150095,13.47446911,
75,GP,9.946563897763513,6.950523039765068,1247.0925482581108
76,GT,1.1556306365292406,1.0992443102596112,117378.6955941801
77,GN,10.085854869240976,20.965110747974634,252086.39784168208
78,GW,2.70529346586536,2.6472414753997153,32611.384208694813
79,GY,0.9572870793587879,0.45488453241733817,210104.50583054213
80,HT,6.184378487222888,4.467154391621586,28308.888838259438
81,HN,0.9175939112655984,1.080032291327795,118277.15078956334
82,HU,1.2876310319999995,1.1641231639999998,199413.34341012413
83,IS,0.0,1.08280436804684,488152.6617050013
84,IN,30.494259695378645,21.306085240363043,3761266.3761276733
85,ID,23.935170095642196,8.925760608911421,1832780.6561548496
86,IR,66.85104643831349,40.14382572122499,2263410.7573911757
87,IQ,58.97458393860096,36.6643587231758,619742.1589816895
88,IE,1.6357644652808478,0.7919114575996408,181908.97381971998
89,IM,0.0,4.976552229400558,
90,IL,87.03051743412004,54.97082753228222,35752.571551918765
91,IT,46.40125685755297,16.678335147979798,546854.4350861922
92,JM,11.657895882124933,6.302038777086393,11433.084593432795
93,JP,0.5973677231893315,0.5731914180077096,572176.1870200853
94,JE,0.0,13.54248473,
95,JO,79.02769796185584,49.902279793769594,120137.77074401693
