Region;Grid;Area;Share
Central;CN-CCG;36249802.2;0.313292346
Tibet;CN-SWG;208625.5;0.001803066
South;CN-CSG;1029679.3;0.008899101
East;CN-ECGC;23762803;0.205372274
Northeast;CN-NECG;955800.1;0.008260593
North;CN-NCGC;40906419.2;0.3535376
Northwest;CN-NWG;12592864.2;0.108835021
