Region;Grid;Area;Share
Texas;US-TRE;74287.1;0.000838135
Midwest;US-MRO;43652968.1;0.492509283
Southeast;US-SERC;26050148.6;0.293907621
North;US-RFC;18537376.5;0.209145687
Northeast;US-NPCC;319017.3;0.003599274
