Region;Grid;Area;Share
Central;CN-CCG;799453.2;0.287949002
Tibet;CN-SWG;13440.7;0.004841104
South;CN-CSG;590820.2;0.212803059
East;CN-ECGC;345079.9;0.124291719
Northeast;CN-NECG;378690.1;0.136397523
North;CN-NCGC;334004.8;0.120302663
Northwest;CN-NWG;314881.9;0.11341493
