Region;Grid;Area;Share
Texas;US-TRE;1028745.1;0.025837656
Midwest;US-MRO;28553303.2;0.717136262
Southeast;US-SERC;5537861.4;0.139087278
North;US-RFC;4523593.1;0.113613217
Northeast;US-NPCC;172226.4;0.004325587
